x_mm,contour_wall,center,center_T,center_g,contour_g
-4.805714264512062073e+01,9.911211671533773915e-01,9.907500502581683133e-01,2.858922424316406250e+02,0.000000000000000000e+00,0.000000000000000000e+00
-4.742857068777084351e+01,9.911535704460808782e-01,9.907148695403757976e-01,2.858892822265625000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-4.679999873042106628e+01,9.911928511723379076e-01,9.906751920391061450e-01,2.858860778808593750e+02,0.000000000000000000e+00,0.000000000000000000e+00
-4.617142677307128906e+01,9.912400673988488453e-01,9.906299596876586566e-01,2.858823242187500000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-4.554285854101181030e+01,9.912968723548332139e-01,9.905789079693584354e-01,2.858781127929687500e+02,0.000000000000000000e+00,0.000000000000000000e+00
-4.491428658366203308e+01,9.913645224944980239e-01,9.905212433341797906e-01,2.858734436035156250e+02,0.000000000000000000e+00,0.000000000000000000e+00
-4.428571462631225586e+01,9.914439436262062477e-01,9.904563044904350910e-01,2.858680725097656250e+02,0.000000000000000000e+00,0.000000000000000000e+00
-4.365714266896247864e+01,9.915377147875401587e-01,9.903827688547486296e-01,2.858619689941406250e+02,0.000000000000000000e+00,0.000000000000000000e+00
-4.302857071161270142e+01,9.916466295285254473e-01,9.903001073937700571e-01,2.858552246093750000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-4.239999875426292419e+01,9.917729362409005711e-01,9.902071297824615037e-01,2.858475952148437500e+02,0.000000000000000000e+00,0.000000000000000000e+00
-4.177142679691314697e+01,9.919164365371593295e-01,9.901022489207719213e-01,2.858389282226562500e+02,0.000000000000000000e+00,0.000000000000000000e+00
-4.114285856485366821e+01,9.920797094548839956e-01,9.899848696461824860e-01,2.858293457031250000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-4.051428660750389099e+01,9.922505210978500578e-01,9.898534709878110682e-01,2.858184204101562500e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.988571465015411377e+01,9.924390553580497709e-01,9.897063997164381455e-01,2.858064270019531250e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.925714269280433655e+01,9.926202492805146216e-01,9.895431929278821759e-01,2.857928161621093750e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.862857073545455933e+01,9.927911270526493803e-01,9.893604780345353067e-01,2.857779541015625000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.799999877810478210e+01,9.929184918317250919e-01,9.891617598823430058e-01,2.857611694335937500e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.757109493017196655e+01,9.931016035000846953e-01,9.890057611731843945e-01,2.857491455078125000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.714219108223915100e+01,9.930818970077873731e-01,9.888491011723379298e-01,2.857358093261718750e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.671328723430633545e+01,9.928364916624343728e-01,9.886757766209581799e-01,2.857218627929687500e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.628438338637351990e+01,9.924973812849161581e-01,9.884955085068563019e-01,2.857067871093750000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.585547953844070435e+01,9.920800401007279223e-01,9.883002952006094688e-01,2.856909179687500000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.542657196521759033e+01,9.916533747037413749e-01,9.880950302607076630e-01,2.856738586425781250e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.499766811728477478e+01,9.912167238022684401e-01,9.878756798078550672e-01,2.856558837890625000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.456876426935195923e+01,9.907916455053326077e-01,9.876439632004401226e-01,2.856367797851562500e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.413986042141914368e+01,9.903723865752497302e-01,9.873978965633993798e-01,2.856165466308593750e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.371095657348632812e+01,9.899607986287455308e-01,9.871379428009141588e-01,2.855950622558593750e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.328205272555351257e+01,9.895535752073810754e-01,9.868627793296089745e-01,2.855724792480468750e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.285314515233039856e+01,9.891493937277805459e-01,9.865723400203149085e-01,2.855485229492187500e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.242424130439758301e+01,9.887442864398171549e-01,9.862659635813442183e-01,2.855232238769531250e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.199533745646476746e+01,9.883374597934654338e-01,9.859425919459963161e-01,2.854965515136718750e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.156643360853195190e+01,9.879268637844930145e-01,9.856018944684272753e-01,2.854684753417968750e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.113752976059913635e+01,9.875098532461485945e-01,9.852433421152869686e-01,2.854389038085937500e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.070862405002117157e+01,9.870854362409006155e-01,9.848657445615371930e-01,2.854077453613281250e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.027972020208835602e+01,9.866507692144912411e-01,9.844683743863212877e-01,2.853749389648437500e+02,0.000000000000000000e+00,0.000000000000000000e+00
-2.985081635415554047e+01,9.862059844252581975e-01,9.840505702979516212e-01,2.853404541015625000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-2.942191064357757568e+01,9.857477754147621063e-01,9.836110758422210720e-01,2.853041076660156250e+02,0.000000000000000000e+00,0.000000000000000000e+00
-2.899300679564476013e+01,9.852756131496529513e-01,9.831488329524292746e-01,2.852659606933593750e+02,0.000000000000000000e+00,0.000000000000000000e+00
-2.856410294771194458e+01,9.847874476256983645e-01,9.826628496910445598e-01,2.852257995605468750e+02,0.000000000000000000e+00,0.000000000000000000e+00
