x_mm,contour_wall,center,center_T,side_wall_mid
4.473036575317382812e+01,2.571699023246765137e-01,2.572409510612487793e-01,1.946922760009765625e+02,2.572264969348907471e-01
4.515638351440429688e+01,2.560635805130004883e-01,2.561331391334533691e-01,1.944529876708984375e+02,2.561193406581878662e-01
4.558239364624023438e+01,2.549665868282318115e-01,2.550352215766906738e-01,1.942151031494140625e+02,2.550218105316162109e-01
4.600840759277343750e+01,2.538798749446868896e-01,2.539473772048950195e-01,1.939787292480468750e+02,2.539339363574981689e-01
4.643442153930664062e+01,2.528016269207000732e-01,2.528691589832305908e-01,1.937436828613281250e+02,2.528555095195770264e-01
4.686043548583984375e+01,2.517327070236206055e-01,2.518003880977630615e-01,1.935100250244140625e+02,2.517866194248199463e-01
4.728644943237304688e+01,2.506723105907440186e-01,2.507403790950775146e-01,1.932775726318359375e+02,2.507269680500030518e-01
4.771246337890625000e+01,2.496212124824523926e-01,2.496890872716903687e-01,1.930463256835937500e+02,2.496765255928039551e-01
4.813847732543945312e+01,2.485790848731994629e-01,2.486467212438583374e-01,1.928163299560546875e+02,2.486350089311599731e-01
4.856449127197265625e+01,2.475460767745971680e-01,2.476130574941635132e-01,1.925875854492187500e+02,2.476021945476531982e-01
4.899050521850585938e+01,2.465225309133529663e-01,2.465885728597640991e-01,1.923602142333984375e+02,2.465781122446060181e-01
4.941651916503906250e+01,2.455080002546310425e-01,2.455730140209197998e-01,1.921341400146484375e+02,2.455626130104064941e-01
4.984253311157226562e+01,2.445023804903030396e-01,2.445657700300216675e-01,1.919092712402343750e+02,2.445556074380874634e-01
5.026854705810546875e+01,2.435053735971450806e-01,2.435669004917144775e-01,1.916855773925781250e+02,2.435568571090698242e-01
5.069455718994140625e+01,2.425166368484497070e-01,2.425764054059982300e-01,1.914631500244140625e+02,2.425662279129028320e-01
5.112057495117187500e+01,2.415352314710617065e-01,2.415939271450042725e-01,1.912418365478515625e+02,2.415838539600372314e-01
5.154658889770507812e+01,2.405612319707870483e-01,2.406194359064102173e-01,1.910216979980468750e+02,2.406095117330551147e-01
5.197260284423828125e+01,2.395947575569152832e-01,2.396533489227294922e-01,1.908028564453125000e+02,2.396431416273117065e-01
5.239861297607421875e+01,2.386345118284225464e-01,2.386947721242904663e-01,1.905850524902343750e+02,2.386845648288726807e-01
5.282463073730468750e+01,2.376821339130401611e-01,2.377440631389617920e-01,1.903684692382812500e+02,2.377338707447052002e-01
5.325064468383789062e+01,2.367376983165740967e-01,2.368011325597763062e-01,1.901530609130859375e+02,2.367906123399734497e-01
5.367665863037109375e+01,2.358011454343795776e-01,2.358657270669937134e-01,1.899387054443359375e+02,2.358549237251281738e-01
5.410266876220703125e+01,2.348727434873580933e-01,2.349371016025543213e-01,1.897252960205078125e+02,2.349266707897186279e-01
5.452868270874023438e+01,2.339534759521484375e-01,2.340152859687805176e-01,1.895128479003906250e+02,2.340055704116821289e-01
5.495470046997070312e+01,2.330424785614013672e-01,2.331005185842514038e-01,1.893015136718750000e+02,2.330915331840515137e-01
5.538071441650390625e+01,2.321386337280273438e-01,2.321922630071640015e-01,1.890910644531250000e+02,2.321845442056655884e-01
5.580672454833984375e+01,2.312418222427368164e-01,2.312912046909332275e-01,1.888816680908203125e+02,2.312845587730407715e-01
5.623273849487304688e+01,2.303499877452850342e-01,2.303973585367202759e-01,1.886734008789062500e+02,2.303913831710815430e-01
5.665875244140625000e+01,2.294630259275436401e-01,2.295110523700714111e-01,1.884662933349609375e+02,2.295053154230117798e-01
5.708477020263671875e+01,2.285806089639663696e-01,2.286318689584732056e-01,1.882603302001953125e+02,2.286259829998016357e-01
5.751078033447265625e+01,2.277038991451263428e-01,2.277595847845077515e-01,1.880553741455078125e+02,2.277533113956451416e-01
5.793679428100585938e+01,2.268340885639190674e-01,2.268940210342407227e-01,1.878514251708984375e+02,2.268873006105422974e-01
5.836280822753906250e+01,2.259724736213684082e-01,2.260348647832870483e-01,1.876484222412109375e+02,2.260276526212692261e-01
5.878882598876953125e+01,2.251203209161758423e-01,2.251821309328079224e-01,1.874464721679687500e+02,2.251745313405990601e-01
5.921483612060546875e+01,2.242771685123443604e-01,2.243357300758361816e-01,1.872454376220703125e+02,2.243278324604034424e-01
5.964085006713867188e+01,2.234420031309127808e-01,2.234953194856643677e-01,1.870452423095703125e+02,2.234872430562973022e-01
6.006686401367187500e+01,2.226133942604064941e-01,2.226609140634536743e-01,1.868460083007812500e+02,2.226531207561492920e-01
6.049287796020507812e+01,2.217894643545150757e-01,2.218328416347503662e-01,1.866477203369140625e+02,2.218250036239624023e-01
6.091889190673828125e+01,2.209685742855072021e-01,2.210109084844589233e-01,1.864504241943359375e+02,2.210028767585754395e-01
6.134490585327148438e+01,2.201505601406097412e-01,2.201949506998062134e-01,1.862539978027343750e+02,2.201867848634719849e-01
6.177091979980468750e+01,2.193360328674316406e-01,2.193853259086608887e-01,1.860586242675781250e+02,2.193766683340072632e-01
6.219693374633789062e+01,2.185254693031311035e-01,2.185811847448348999e-01,1.858640594482421875e+02,2.185724079608917236e-01
6.262294769287109375e+01,2.177220433950424194e-01,2.177830636501312256e-01,1.856704254150390625e+02,2.177739888429641724e-01
6.304895782470703125e+01,2.169265747070312500e-01,2.169907391071319580e-01,1.854777374267578125e+02,2.169813364744186401e-01
6.347497558593750000e+01,2.161410152912139893e-01,2.162040323019027710e-01,1.852858886718750000e+02,2.161943018436431885e-01
6.390099334716796875e+01,2.153652906417846680e-01,2.154233008623123169e-01,1.850950622558593750e+02,2.154130041599273682e-01
6.432700347900390625e+01,2.145976871252059937e-01,2.146476954221725464e-01,1.849049377441406250e+02,2.146371901035308838e-01
6.475302124023437500e+01,2.138371020555496216e-01,2.138774096965789795e-01,1.847155609130859375e+02,2.138668447732925415e-01
6.517903137207031250e+01,2.130809724330902100e-01,2.131127417087554932e-01,1.845271759033203125e+02,2.131018936634063721e-01
6.560504150390625000e+01,2.123261690139770508e-01,2.123525589704513550e-01,1.843393707275390625e+02,2.123421281576156616e-01
6.603105926513671875e+01,2.115727216005325317e-01,2.115974873304367065e-01,1.841523284912109375e+02,2.115876376628875732e-01
6.645706939697265625e+01,2.108195722103118896e-01,2.108480334281921387e-01,1.839662475585937500e+02,2.108383327722549438e-01
6.688308715820312500e+01,2.100668102502822876e-01,2.101038545370101929e-01,1.837809906005859375e+02,2.100940942764282227e-01
6.730909729003906250e+01,2.093167901039123535e-01,2.093649059534072876e-01,1.835965576171875000e+02,2.093552500009536743e-01
6.773511505126953125e+01,2.085726261138916016e-01,2.086318135261535645e-01,1.834131469726562500e+02,2.086214572191238403e-01
6.816113281250000000e+01,2.078349888324737549e-01,2.079041004180908203e-01,1.832306518554687500e+02,2.078930288553237915e-01
6.858714294433593750e+01,2.071067988872528076e-01,2.071809768676757812e-01,1.830488281250000000e+02,2.071696370840072632e-01
6.901315307617187500e+01,2.063897848129272461e-01,2.064630836248397827e-01,1.828678741455078125e+02,2.064512521028518677e-01
6.943917083740234375e+01,2.056823372840881348e-01,2.057493925094604492e-01,1.826875000000000000e+02,2.057375758886337280e-01
6.986518096923828125e+01,2.049838900566101074e-01,2.050395905971527100e-01,1.825076751708984375e+02,2.050286084413528442e-01
7.029119873046875000e+01,2.042927443981170654e-01,2.043341398239135742e-01,1.823285675048828125e+02,2.043242305517196655e-01
7.071720886230468750e+01,2.036053240299224854e-01,2.036330103874206543e-01,1.821500701904296875e+02,2.036244124174118042e-01
7.114322662353515625e+01,2.029198557138442993e-01,2.029363363981246948e-01,1.819722442626953125e+02,2.029289305210113525e-01
7.156924438476562500e+01,2.022343724966049194e-01,2.022449821233749390e-01,1.817953948974609375e+02,2.022380083799362183e-01
7.199525451660156250e+01,2.015469819307327271e-01,2.015585601329803467e-01,1.816194152832031250e+02,2.015515714883804321e-01
