x_mm,contour_wall,center,center_T
5.836280807852745056e+01,2.293652856251058025e-01,2.294265542999830709e-01,1.884472656250000000e+02
5.878882482647895813e+01,2.285386544830285971e-01,2.286007663048078564e-01,1.882537689208984375e+02
5.921483784914016724e+01,2.277182394828169976e-01,2.277807976764855136e-01,1.880611267089843750e+02
5.964085087180137634e+01,2.269040736890553522e-01,2.269663838983409510e-01,1.878692779541015625e+02
6.006686389446258545e+01,2.260959256496529457e-01,2.261575415026663149e-01,1.876782684326171875e+02
6.049287691712379456e+01,2.252940598812849249e-01,2.253540225050787160e-01,1.874880371093750000e+02
6.091889366507530212e+01,2.244979638828931701e-01,2.245559095670391081e-01,1.872985839843750000e+02
6.134490668773651123e+01,2.237076541867699386e-01,2.237633349468850508e-01,1.871099700927734375e+02
6.177091971039772034e+01,2.229229820022854136e-01,2.229762986446165440e-01,1.869222106933593750e+02
6.219693273305892944e+01,2.221438316033942650e-01,2.221950982414931386e-01,1.867353668212890625e+02
6.262294948101043701e+01,2.213698062150837864e-01,2.214198163989757884e-01,1.865494995117187500e+02
6.304895877838134766e+01,2.206014018061198678e-01,2.206502381972659521e-01,1.863645172119140625e+02
6.347497552633285522e+01,2.198378744233536464e-01,2.198864132332402355e-01,1.861804656982421875e+02
6.390099227428436279e+01,2.190794720511680949e-01,2.191281431193922435e-01,1.859972991943359375e+02
6.432700157165527344e+01,2.183259963020568739e-01,2.183752129359234906e-01,1.858149566650390625e+02
6.475301831960678101e+01,2.175776124989419469e-01,2.176276226828339211e-01,1.856334838867187500e+02
6.517902761697769165e+01,2.168342545126544785e-01,2.168852401017860032e-01,1.854528198242187500e+02
6.560504436492919922e+01,2.160960876661164598e-01,2.161479329344421774e-01,1.852729339599609375e+02
6.603106111288070679e+01,2.153630788947435148e-01,2.154157342453868196e-01,1.850939331054687500e+02
6.645707041025161743e+01,2.146356911027171022e-01,2.146882472596072511e-01,1.849156188964843750e+02
6.688308715820312500e+01,2.139135605796089468e-01,2.139653066541814808e-01,1.847379608154296875e+02
6.730909645557403564e+01,2.131960095014389656e-01,2.132473092041222151e-01,1.845611114501953125e+02
6.773511320352554321e+01,2.124831370619603976e-01,2.125342053125529040e-01,1.843850402832031250e+02
6.816112995147705078e+01,2.117751581809717287e-01,2.118260941732266756e-01,1.842097930908203125e+02
6.858713924884796143e+01,2.110716264865837022e-01,2.111228765923903739e-01,1.840353546142578125e+02
6.901315599679946899e+01,2.103726742371339054e-01,2.104242549887845037e-01,1.838616180419921875e+02
6.943917274475097656e+01,2.096783344972067142e-01,2.097300144426104684e-01,1.836885375976562500e+02
6.986518204212188721e+01,2.089883592824191560e-01,2.090401549538682957e-01,1.835161895751953125e+02
